Part No,Lvl,Rev,State,MR,Part Status,Document,Check Out,Change,R,Description,Technical Spec,MES D. Rev,Qty,UOM,UIT,Supply Type,Designator,SVC Loc,SVC,Designator/Split Qty,Designator/Split Comments,Job Explanation,Switch,Auth,Site Qty,Qty Exception,Maker,Standard,Substitute For
0RJ1002C478,4,1.2,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1002 10KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,3,EA,G,Assembly Pull,"R1510,R2326,R8091",,,1|1|1,||,,,,3,N,"COWELL FASHION CO., LTD",Y,
0RJ1002C678,4,1.3,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ103 10KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,45,EA,G,Assembly Pull,"R100,R1000,R1002,R101,R1014,R103,R105,R106,R107,R108,R119,R130,R1323,R1402,R1403,R1600,R230,R2315,R2319,R247,R2503,R3355,R3358,R3362,R4107,R4112,R4123,R4702,R5312,R5313,R7105,R800,R804,R8100,R8800,R900,R908,R909,R916,R9162,R9165,R9167,R917,R921,R923",,,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,||||||||||||||||||||||||||||||||||||||||||||,,,,45,N,"COWELL FASHION CO., LTD",Y,
0RJ1003C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1003 100KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R2114,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ1003C678,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ104 100KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R1304,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ1052C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1052 10.5KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R1500,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ1102C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF113 11KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R2100,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ1201C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1201 1.2KOHM 1% 1/16W 1005 R/TP - ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R2507,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ1201C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ122 1.2KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R3307,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ1203C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF124 120KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R8055,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ1302C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF133 13KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R2105,R2342",,,1|1,|,,,,2,N,"COWELL FASHION CO., LTD",Y,
0RJ1402C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1402 14KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R1300,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ1502D477,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPFX1502 15KOHM 1% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R2106,R2321",,,1|1,|,,,,2,N,"COWELL FASHION CO., LTD",Y,
0RJ1801C678,4,1,Release,,2,,,,B,"Resistor,Chip","MCR01MZPJ182 1.8KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,11,EA,D,Assembly Pull,"R215,R216,R217,R218,R219,R220,R221,R222,R251,R252,R4109",,,1|1|1|1|1|1|1|1|1|1|1,||||||||||,,,,11,N,"COWELL FASHION CO., LTD",Y,
0RJ1802C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF1802 18KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R1301,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ1803C478,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF184 180KOHM 1% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,G,Assembly Pull,"R1602,R2343",,,1|1,|,,,,2,N,"COWELL FASHION CO., LTD",Y,
0RJ2000C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ201 200OHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R243,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ2000D677,4,1,Release,,3,,,,B,"Resistor,Chip","MCR03EZPJ201 200OHM 5% 1/10W 1608 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R248,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ2001C678,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ202 2KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R9702,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ2002C478,4,1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPF2002 20KOHM 1% 1/16W 1005 R/TP .  ROHM CO.,LTD.",,1,EA,D,Assembly Pull,R1705,,,1,,,,,1,N,"ROHM CO.,LTD.",Y,
0RJ2003C478,4,1,Release,,3,,,,B,"Resistor,Chip","RC0402FR-07200KL_ 200KOHM 1% 1/16W 1005 R/TP - ROHM CO.,LTD.",,1,EA,G,Assembly Pull,R2317,,,1,,,,,1,N,"COWELL FASHION CO., LTD",Y,
0RJ2202C678,4,1.1,Release,,3,,,,B,"Resistor,Chip","MCR01MZPJ223 22KOHM 5% 1/16W 1005 R/TP -  ROHM CO.,LTD.",,2,EA,D,Assembly Pull,"R1401,R4121",,,1|1,|,,,,2,N,"ROHM CO.,LTD.",Y,
